2026-03-24 13:24:12 | DEBUG    | clickbot.vision | Loaded template: C:\TaxActBot\dist\TaxActBot\_internal\.agents\screenshots\buttons\common\locked_2.png ((22, 83, 3))
2026-03-24 13:24:13 | DEBUG    | clickbot.vision | Template match attempt 1: confidence=0.626 (threshold=0.8)
2026-03-24 13:24:13 | ERROR    | clickbot.vision | Element not found: common/locked_2.png (max confidence: 0.626)
2026-03-24 13:24:13 | DEBUG    | clickbot.vision | Loaded template: C:\TaxActBot\dist\TaxActBot\_internal\.agents\screenshots\buttons\common\locked_2.png ((22, 83, 3))
2026-03-24 13:24:13 | DEBUG    | clickbot.vision | Template match attempt 1: confidence=0.626 (threshold=0.8)
2026-03-24 13:24:13 | ERROR    | clickbot.vision | Element not found: common/locked_2.png (max confidence: 0.626)
2026-03-24 13:24:13 | DEBUG    | clickbot.vision | Loaded template: C:\TaxActBot\dist\TaxActBot\_internal\.agents\screenshots\buttons\common\locked_2.png ((22, 83, 3))
2026-03-24 13:24:14 | DEBUG    | clickbot.vision | Template match attempt 1: confidence=0.626 (threshold=0.8)
2026-03-24 13:24:14 | ERROR    | clickbot.vision | Element not found: common/locked_2.png (max confidence: 0.626)
2026-03-24 13:24:14 | DEBUG    | clickbot.vision | Loaded template: C:\TaxActBot\dist\TaxActBot\_internal\.agents\screenshots\buttons\common\locked_2.png ((22, 83, 3))
2026-03-24 13:24:14 | DEBUG    | clickbot.vision | Template match attempt 1: confidence=0.626 (threshold=0.8)
2026-03-24 13:24:14 | ERROR    | clickbot.vision | Element not found: common/locked_2.png (max confidence: 0.626)
2026-03-24 13:24:14 | DEBUG    | clickbot.vision | Loaded template: C:\TaxActBot\dist\TaxActBot\_internal\.agents\screenshots\buttons\common\locked_2.png ((22, 83, 3))
2026-03-24 13:24:15 | DEBUG    | clickbot.vision | Template match attempt 1: confidence=0.626 (threshold=0.8)
2026-03-24 13:24:15 | ERROR    | clickbot.vision | Element not found: common/locked_2.png (max confidence: 0.626)
2026-03-24 13:24:15 | DEBUG    | clickbot.vision | Loaded template: C:\TaxActBot\dist\TaxActBot\_internal\.agents\screenshots\buttons\common\locked_2.png ((22, 83, 3))
2026-03-24 13:24:15 | DEBUG    | clickbot.vision | Template match attempt 1: confidence=0.626 (threshold=0.8)
2026-03-24 13:24:15 | ERROR    | clickbot.vision | Element not found: common/locked_2.png (max confidence: 0.626)
2026-03-24 13:24:16 | DEBUG    | clickbot.vision | wait_for_element: timeout after 6 polls for common/locked_2.png
2026-03-24 13:24:16 | INFO     | clickbot.process_executor |   -> Condition: common/locked_2.png visible=False -> if_false
2026-03-24 13:24:17 | INFO     | clickbot.process_executor |   -> Verifying: C:\TaxActBot\dist\TaxActBot\_internal\assets\verify/1040/04_federal_extension.png (timeout=10.0s, attempt 1/3)
2026-03-24 13:24:17 | DEBUG    | clickbot.vision | Loaded template: C:\TaxActBot\dist\TaxActBot\_internal\assets\verify\1040\04_federal_extension.png ((40, 475, 3))
2026-03-24 13:24:17 | DEBUG    | clickbot.vision | Template match attempt 1: confidence=1.000 (threshold=0.8)
2026-03-24 13:24:17 | INFO     | clickbot.vision | Element found: 1040/04_federal_extension.png at (727, 213) confidence=1.000
2026-03-24 13:24:17 | DEBUG    | clickbot.vision | wait_for_element: found 1040/04_federal_extension.png after 1 polls
2026-03-24 13:24:17 | INFO     | clickbot.process_executor |   -> Screen verified: 1040/04_federal_extension.png
2026-03-24 13:24:17 | INFO     | clickbot.process_executor | [1040] Step  4/19 | click_yes_federal_extension         | Click Yes on Federal Extension screen
2026-03-24 13:24:17 | DEBUG    | clickbot.vision | Loaded template: C:\TaxActBot\dist\TaxActBot\_internal\assets\verify\1040\04_federal_extension.png ((40, 475, 3))
2026-03-24 13:24:17 | DEBUG    | clickbot.vision | Template match attempt 1: confidence=1.000 (threshold=0.8)
2026-03-24 13:24:17 | INFO     | clickbot.vision | Element found: 1040/04_federal_extension.png at (727, 213) confidence=1.000
2026-03-24 13:24:17 | DEBUG    | clickbot.vision | Loaded template: C:\TaxActBot\dist\TaxActBot\_internal\.agents\screenshots\buttons\common\yes_green.png ((41, 83, 3))
2026-03-24 13:24:17 | DEBUG    | clickbot.vision | Template match attempt 1: confidence=1.000 (threshold=0.8)
2026-03-24 13:24:17 | INFO     | clickbot.vision | Element found: common/yes_green.png at (532, 463) confidence=1.000
2026-03-24 13:24:17 | INFO     | clickbot.executor | Click at (532, 463)
2026-03-24 13:24:18 | DEBUG    | clickbot.executor | Click completed, waited 0s
2026-03-24 13:24:18 | INFO     | clickbot.process_executor |   -> Verifying: C:\TaxActBot\dist\TaxActBot\_internal\assets\verify/1040/05_application_for_automatic_extension.png (timeout=10.0s, attempt 1/3)
2026-03-24 13:24:18 | DEBUG    | clickbot.vision | Loaded template: C:\TaxActBot\dist\TaxActBot\_internal\assets\verify\1040\05_application_for_automatic_extension.png ((31, 570, 3))
2026-03-24 13:24:18 | DEBUG    | clickbot.vision | Template match attempt 1: confidence=0.414 (threshold=0.8)
2026-03-24 13:24:18 | ERROR    | clickbot.vision | Element not found: 1040/05_application_for_automatic_extension.png (max confidence: 0.414)
2026-03-24 13:24:18 | DEBUG    | clickbot.vision | Loaded template: C:\TaxActBot\dist\TaxActBot\_internal\assets\verify\1040\05_application_for_automatic_extension.png ((31, 570, 3))
2026-03-24 13:24:18 | DEBUG    | clickbot.vision | Template match attempt 1: confidence=1.000 (threshold=0.8)
2026-03-24 13:24:18 | INFO     | clickbot.vision | Element found: 1040/05_application_for_automatic_extension.png at (776, 215) confidence=1.000
2026-03-24 13:24:18 | DEBUG    | clickbot.vision | wait_for_element: found 1040/05_application_for_automatic_extension.png after 2 polls
2026-03-24 13:24:18 | INFO     | clickbot.process_executor |   -> Screen verified: 1040/05_application_for_automatic_extension.png
2026-03-24 13:24:19 | INFO     | clickbot.process_executor | [1040] Step  5/19 | click_complete_form_4868            | Click Complete Form 4868 button
2026-03-24 13:24:19 | DEBUG    | clickbot.vision | Loaded template: C:\TaxActBot\dist\TaxActBot\_internal\assets\verify\1040\05_application_for_automatic_extension.png ((31, 570, 3))
2026-03-24 13:24:19 | DEBUG    | clickbot.vision | Template match attempt 1: confidence=1.000 (threshold=0.8)
2026-03-24 13:24:19 | INFO     | clickbot.vision | Element found: 1040/05_application_for_automatic_extension.png at (776, 215) confidence=1.000
2026-03-24 13:24:19 | DEBUG    | clickbot.vision | Loaded template: C:\TaxActBot\dist\TaxActBot\_internal\.agents\screenshots\buttons\1040\complete_form_4868_green.png ((39, 213, 3))
2026-03-24 13:24:19 | DEBUG    | clickbot.vision | Template match attempt 1: confidence=1.000 (threshold=0.8)
2026-03-24 13:24:19 | INFO     | clickbot.vision | Element found: 1040/complete_form_4868_green.png at (596, 415) confidence=1.000
2026-03-24 13:24:19 | INFO     | clickbot.executor | Click at (596, 415)
2026-03-24 13:24:19 | DEBUG    | clickbot.executor | Click completed, waited 0s
2026-03-24 13:24:19 | INFO     | clickbot.process_executor |   -> Verifying: C:\TaxActBot\dist\TaxActBot\_internal\assets\verify/1040/06_personal_data.png (timeout=10.0s, attempt 1/3)
2026-03-24 13:24:19 | DEBUG    | clickbot.vision | Loaded template: C:\TaxActBot\dist\TaxActBot\_internal\assets\verify\1040\06_personal_data.png ((60, 647, 3))
2026-03-24 13:24:20 | DEBUG    | clickbot.vision | Template match attempt 1: confidence=0.373 (threshold=0.8)
2026-03-24 13:24:20 | ERROR    | clickbot.vision | Element not found: 1040/06_personal_data.png (max confidence: 0.373)
2026-03-24 13:24:20 | DEBUG    | clickbot.vision | Loaded template: C:\TaxActBot\dist\TaxActBot\_internal\assets\verify\1040\06_personal_data.png ((60, 647, 3))
2026-03-24 13:24:20 | DEBUG    | clickbot.vision | Template match attempt 1: confidence=1.000 (threshold=0.8)
2026-03-24 13:24:20 | INFO     | clickbot.vision | Element found: 1040/06_personal_data.png at (813, 227) confidence=1.000
2026-03-24 13:24:20 | DEBUG    | clickbot.vision | wait_for_element: found 1040/06_personal_data.png after 2 polls
2026-03-24 13:24:20 | INFO     | clickbot.process_executor |   -> Screen verified: 1040/06_personal_data.png
2026-03-24 13:24:20 | INFO     | clickbot.process_executor | [1040] Step  6/19 | click_continue_personal_data        | Continue on Personal Data screen
2026-03-24 13:24:20 | DEBUG    | clickbot.vision | Loaded template: C:\TaxActBot\dist\TaxActBot\_internal\assets\verify\1040\06_personal_data.png ((60, 647, 3))
2026-03-24 13:24:20 | DEBUG    | clickbot.vision | Template match attempt 1: confidence=1.000 (threshold=0.8)
2026-03-24 13:24:20 | INFO     | clickbot.vision | Element found: 1040/06_personal_data.png at (813, 227) confidence=1.000
2026-03-24 13:24:20 | DEBUG    | clickbot.vision | Loaded template: C:\TaxActBot\dist\TaxActBot\_internal\.agents\screenshots\buttons\common\continue_blue.png ((47, 149, 3))
2026-03-24 13:24:21 | DEBUG    | clickbot.vision | Template match attempt 1: confidence=1.000 (threshold=0.8)
2026-03-24 13:24:21 | INFO     | clickbot.vision | Element found: common/continue_blue.png at (1113, 644) confidence=1.000
2026-03-24 13:24:21 | INFO     | clickbot.executor | Click at (1113, 644)
2026-03-24 13:24:21 | DEBUG    | clickbot.executor | Click completed, waited 0s
2026-03-24 13:24:21 | INFO     | clickbot.process_executor |   -> Verifying: C:\TaxActBot\dist\TaxActBot\_internal\assets\verify/1040/07_spouse.png (timeout=10.0s, attempt 1/3)
2026-03-24 13:24:21 | DEBUG    | clickbot.vision | Loaded template: C:\TaxActBot\dist\TaxActBot\_internal\assets\verify\1040\07_spouse.png ((40, 235, 3))
2026-03-24 13:24:21 | DEBUG    | clickbot.vision | Template match attempt 1: confidence=0.696 (threshold=0.8)
2026-03-24 13:24:21 | ERROR    | clickbot.vision | Element not found: 1040/07_spouse.png (max confidence: 0.696)
2026-03-24 13:24:22 | DEBUG    | clickbot.vision | Loaded template: C:\TaxActBot\dist\TaxActBot\_internal\assets\verify\1040\07_spouse.png ((40, 235, 3))
2026-03-24 13:24:22 | DEBUG    | clickbot.vision | Template match attempt 1: confidence=1.000 (threshold=0.8)
2026-03-24 13:24:22 | INFO     | clickbot.vision | Element found: 1040/07_spouse.png at (609, 217) confidence=1.000
2026-03-24 13:24:22 | DEBUG    | clickbot.vision | wait_for_element: found 1040/07_spouse.png after 2 polls
