2026-02-06 02:13:57 | DEBUG    | clickbot.vision | Vision configured: base_path=.agents/screenshots/buttons, confidence=0.8
2026-02-06 02:13:57 | DEBUG    | clickbot.vision | Tesseract path: C:/Program Files/Tesseract-OCR/tesseract.exe
2026-02-06 02:13:57 | INFO     | clickbot.vision | Scanning client table for return type: 1120
2026-02-06 02:13:57 | DEBUG    | clickbot.vision | Loaded template: .agents\screenshots\buttons\common\column_header_client_name.png ((22, 53, 3))
2026-02-06 02:13:58 | DEBUG    | clickbot.vision | Template match attempt 1: confidence=1.000 (threshold=0.7)
2026-02-06 02:13:58 | INFO     | clickbot.vision | Element found: common/column_header_client_name.png at (51, 183) confidence=1.000
2026-02-06 02:13:58 | DEBUG    | clickbot.vision | Loaded template: .agents\screenshots\buttons\common\column_header_client_name.png ((22, 53, 3))
2026-02-06 02:13:58 | DEBUG    | clickbot.vision | Column 'client_name' found at x=51, width=53
2026-02-06 02:13:58 | DEBUG    | clickbot.vision | Loaded template: .agents\screenshots\buttons\common\column_header_return_type.png ((22, 89, 3))
2026-02-06 02:13:58 | DEBUG    | clickbot.vision | Template match attempt 1: confidence=1.000 (threshold=0.7)
2026-02-06 02:13:58 | INFO     | clickbot.vision | Element found: common/column_header_return_type.png at (515, 184) confidence=1.000
2026-02-06 02:13:58 | DEBUG    | clickbot.vision | Loaded template: .agents\screenshots\buttons\common\column_header_return_type.png ((22, 89, 3))
2026-02-06 02:13:58 | DEBUG    | clickbot.vision | Column 'return_type' found at x=515, width=89
2026-02-06 02:13:58 | DEBUG    | clickbot.vision | Loaded template: .agents\screenshots\buttons\common\column_header_fed_ef_status.png ((22, 100, 3))
2026-02-06 02:13:58 | DEBUG    | clickbot.vision | Template match attempt 1: confidence=1.000 (threshold=0.7)
2026-02-06 02:13:58 | INFO     | clickbot.vision | Element found: common/column_header_fed_ef_status.png at (750, 184) confidence=1.000
2026-02-06 02:13:58 | DEBUG    | clickbot.vision | Loaded template: .agents\screenshots\buttons\common\column_header_fed_ef_status.png ((22, 100, 3))
2026-02-06 02:13:58 | DEBUG    | clickbot.vision | Column 'fed_ef_status' found at x=750, width=100
2026-02-06 02:13:58 | INFO     | clickbot.vision | All column headers found: ['client_name', 'return_type', 'fed_ef_status']
2026-02-06 02:13:58 | DEBUG    | pytesseract | ['C:/Program Files/Tesseract-OCR/tesseract.exe', 'C:\\Users\\misch\\AppData\\Local\\Temp\\tess_l6mvse7c_input.PNG', 'C:\\Users\\misch\\AppData\\Local\\Temp\\tess_l6mvse7c', '-l', 'eng', 'txt']
2026-02-06 02:13:59 | DEBUG    | clickbot.vision | OCR result: ''
2026-02-06 02:13:59 | DEBUG    | pytesseract | ['C:/Program Files/Tesseract-OCR/tesseract.exe', 'C:\\Users\\misch\\AppData\\Local\\Temp\\tess_2lqoutrh_input.PNG', 'C:\\Users\\misch\\AppData\\Local\\Temp\\tess_2lqoutrh', '-l', 'eng', 'txt']
2026-02-06 02:13:59 | DEBUG    | clickbot.vision | OCR result: ''
2026-02-06 02:13:59 | DEBUG    | pytesseract | ['C:/Program Files/Tesseract-OCR/tesseract.exe', 'C:\\Users\\misch\\AppData\\Local\\Temp\\tess_y3eqwvcb_input.PNG', 'C:\\Users\\misch\\AppData\\Local\\Temp\\tess_y3eqwvcb', '-l', 'eng', 'txt']
2026-02-06 02:14:00 | DEBUG    | clickbot.vision | OCR result: ''
2026-02-06 02:14:00 | DEBUG    | clickbot.vision | Row 0: name='', type='', status=''
2026-02-06 02:14:00 | DEBUG    | clickbot.vision | Row 0: empty, stopping scan
2026-02-06 02:14:00 | WARNING  | clickbot.vision | No unprocessed clients found with return type 1120
2026-02-06 02:14:00 | DEBUG    | clickbot.sounds | Played complete melody: [523, 659, 784]
2026-02-10 00:42:54 | INFO     | clickbot.main | Logging configured: level=DEBUG
2026-02-10 00:42:54 | INFO     | __main__ | Starting GUI application
2026-02-10 00:42:54 | INFO     | __main__ | GUI initialized
2026-02-10 00:43:01 | DEBUG    | clickbot.bot_controller | BotController initialized
2026-02-10 00:43:01 | WARNING  | clickbot.window_validator | TaxAct validation SKIPPED (skip_taxact_validation=true)
2026-02-10 00:43:01 | DEBUG    | clickbot.sounds | Played success sound: 1000Hz for 200ms
2026-02-10 00:43:01 | INFO     | clickbot.bot_controller | Bot thread started
2026-02-10 00:43:01 | INFO     | clickbot.bot_controller | Bot worker thread running
2026-02-10 00:43:01 | DEBUG    | clickbot.vision | Vision configured: base_path=.agents/screenshots/buttons, confidence=0.8
2026-02-10 00:43:01 | DEBUG    | clickbot.vision | Tesseract path: C:/Program Files/Tesseract-OCR/tesseract.exe
2026-02-10 00:43:01 | INFO     | clickbot.vision | Scanning client table for return type: 1120
2026-02-10 00:43:01 | DEBUG    | clickbot.vision | Loaded template: .agents\screenshots\buttons\common\column_header_client_name.png ((22, 53, 3))
2026-02-10 00:43:01 | DEBUG    | clickbot.vision | Template match attempt 1: confidence=0.555 (threshold=0.7)
2026-02-10 00:43:02 | DEBUG    | clickbot.vision | Template match attempt 2: confidence=0.555 (threshold=0.7)
2026-02-10 00:43:02 | DEBUG    | clickbot.vision | Template match attempt 3: confidence=0.555 (threshold=0.7)
2026-02-10 00:43:02 | ERROR    | clickbot.vision | Element not found: common/column_header_client_name.png (max confidence: 0.555)
2026-02-10 00:43:02 | ERROR    | clickbot.vision | Column header not found: client_name (common/column_header_client_name.png)
2026-02-10 00:43:02 | ERROR    | clickbot.vision | Failed to find column headers - not on Client Manager screen?
2026-02-10 00:43:03 | DEBUG    | clickbot.sounds | Played complete melody: [523, 659, 784]
2026-02-10 01:04:23 | INFO     | __main__ | Window close requested
2026-02-10 01:04:23 | INFO     | __main__ | GUI application closed
